,연 번,소매인구분,민원구분,업소명,업소지번주소,소재지,업소주소우편번호,업소전화번호,지정일자,법인구분,사업자번호,법인번호
158,159,일반소매인, ,(무명),경상북도 고령군 고령읍 지산리 5-5번지,경상북도 고령군 고령읍 주산길 9,,054-955-2228,1999-01-06,개인, , 
159,160,일반소매인, ,(무명),경상북도 고령군 쌍림면 산주리 1-1번지,경상북도 고령군 쌍림면 산주부례길 56,,054-954-0327,1996-11-01,개인, , 
160,161,일반소매인, ,개진가스상사,경상북도 고령군 개진면 직리 265-6번지,경상북도 고령군 개진면 개경포로 361,,,1999-01-14,개인, , 
161,162,일반소매인, ,상부식당,경상북도 고령군 개진면 생리 91-8번지,경상북도 고령군 개진면 개경포로 1433,,,1999-07-28,개인, , 
162,163,구내소매인, ,LG슈퍼렛,경상북도 고령군 고령읍 쾌빈리 402-3번지,경상북도 고령군 고령읍 우륵로 22,,054-955-8981,1996-06-28,개인, , 
163,164,일반소매인, ,합동석물,경상북도 고령군 다산면 나정리 714-1번지,경상북도 고령군 다산면 석재단지길 20,,,1998-12-12,개인, , 
164,165,일반소매인, ,회춘당약방,경상북도 고령군 쌍림면 고곡리 255-24번지,경상북도 고령군 쌍림면 대가야로 893,,054-955-0166,1996-04-29,개인, , 
165,166,일반소매인, ,동화비디오,경상북도 고령군 고령읍 쾌빈리 433-1번지,경상북도 고령군 고령읍 중앙로 3-1,, ,1996-04-22,개인, , 
166,167,일반소매인, ,강남알뜰쇼핑,경상북도 고령군 다산면 상곡리 358 금류상가 001번지,경상북도 고령군 다산면 상곡1길 15. 001호 (금류상가),,054-956-0055,2000-02-22,개인, , 
167,168,일반소매인, ,신우유통,경상북도 고령군 다산면 상곡리 358 금류상가 101번지,경상북도 고령군 다산면 상곡1길 15. 101호 (금류상가),,,1998-12-09,개인, , 
168,169,일반소매인, ,봉평상회,경상북도 고령군 운수면 봉평리 795-2번지,경상북도 고령군 운수면 운용로 108,,054-955-5247,1995-07-25,개인, , 
169,170,일반소매인, , ,경상북도 고령군 개진면 양전리 750호   ,경상북도 고령군 개진면 양전길 97,,,1998-12-03, , , 
170,171,일반소매인, ,고령휴게소,경상북도 고령군 쌍림면 고곡리 893호   ,경상북도 고령군 쌍림면 대가야로 819,,,2000-01-18, , , 
171,172,일반소매인, ,대영슈퍼,경상북도 고령군 고령읍 쾌빈리 418호   ,경상북도 고령군 고령읍 중앙로 19-2,,,1995-06-07, , , 
172,173,일반소매인, , ,경상북도 고령군 다산면 송곡리 5B 7L호   , ,,,1998-12-11, , , 
173,174,구내소매인, ,신토불이,경상북도 고령군 고령읍 본관리 722-4호   , ,, ,1994-11-01, , , 
174,175,일반소매인, , ,경상북도 고령군 쌍림면 송림리 260-1호   , ,,,1998-12-05, , , 
175,176,일반소매인, ,복전기사식당,경상북도 고령군 쌍림면 귀원리 1-4번지,경상북도 고령군 쌍림면 대가야로 691,,054-955-1516,1994-04-27,개인, , 
176,177,일반소매인, , ,경상북도 고령군 운수면 대평리 834호   , ,,,1998-12-15, , , 
177,178,일반소매인, ,한아름비디오,경상북도 고령군 고령읍 쾌빈리 470-3번지,경상북도 고령군 고령읍 왕릉로 107,, ,1998-11-17,개인, , 
178,179,일반소매인, , ,경상북도 고령군 쌍림면 귀원리 77호   ,경상북도 고령군 쌍림면 대가야로 653,,,1993-07-22, , , 
179,180,일반소매인, , ,경상북도 고령군 성산면 박곡리 526호   ,경상북도 고령군 성산면 성암로 133,,,1985-06-30, , , 
180,181,일반소매인, ,(무명),경상북도 고령군 고령읍 외리 444-4번지,경상북도 고령군 고령읍 일량본길 76,,,1999-02-08,개인, , 
181,182,일반소매인, ,(무명),경상북도 고령군 다산면 송곡리 787호,경상북도 고령군 다산면 성암로 566,,,1998-12-17,개인, , 
182,183,일반소매인, ,(무명),경상북도 고령군 고령읍 본관리 145-1번지,경상북도 고령군 고령읍 안옥산길 48-3,,,1996-11-13,개인, , 
183,184,일반소매인, ,고령상회,경상북도 고령군 성산면 어곡리 245호   , ,,,1999-01-06, , , 
184,185,일반소매인, ,(무명),경상북도 고령군 고령읍 지산리 232-1번지,경상북도 고령군 고령읍 왕릉로 70,,,1992-11-28,개인, , 
185,186,일반소매인, , ,경상북도 고령군 성산면 득성리 208-1호   , ,,,May-91, , , 
186,187,일반소매인, ,(무명),경상북도 고령군 쌍림면 귀원리 320-1번지,경상북도 고령군 쌍림면 대가야로 572,,,1998-06-03,개인, , 
187,188,일반소매인, ,고령농협운수지소,경상북도 고령군 운수면 봉평리 834-7번지,경상북도 고령군 운수면 운용로 94,,,1998-12-17,법인, , 
188,189,일반소매인, , ,경상북도 고령군 다산면 호촌리 298호   ,경상북도 고령군 다산면 평리1길 29-20,,,1991-07-01, , , 
189,190,일반소매인, ,(무명),경상북도 고령군 고령읍 헌문리 227-2번지,경상북도 고령군 고령읍 우륵로 4,,,1991-07-26,개인, , 
190,191,일반소매인, ,(무명),경상북도 고령군 고령읍 쾌빈리 402-7번지,경상북도 고령군 고령읍 우륵로 26,,,1991-03-18,개인, , 
191,192,일반소매인, ,(무명),경상북도 고령군 우곡면 도진리 202호, ,,,1999-06-10,개인, , 
192,193,일반소매인, , ,경상북도 고령군 고령읍 고아리 174호   ,경상북도 고령군 고령읍 벽화길 38,,,1990-10-15, , , 
193,194,일반소매인, , ,경상북도 고령군 성산면 어곡리 132호   , ,,,1990-07-03, , , 
194,195,일반소매인, ,(무명),경상북도 고령군 고령읍 연조리 183-3번지,경상북도 고령군 고령읍 주산순환길 158,,,1998-12-16,개인, , 
195,196,일반소매인, , ,경상북도 고령군 고령읍 쾌빈리 434호   ,경상북도 고령군 고령읍 우륵로 11,,,1989-11-28, , , 
196,197,일반소매인, , ,경상북도 고령군 다산면 벌지리 342호   ,경상북도 고령군 다산면 동암1길 6-9,,,1998-12-05, , , 
197,198,구내소매인, , ,경상북도 고령군 고령읍 지산리 190호   ,경상북도 고령군 고령읍 왕릉로 55,, ,1993-02-27, , , 
198,199,일반소매인, ,슈퍼,경상북도 고령군 고령읍 쾌빈리 449-2번지,경상북도 고령군 고령읍 연조길 6-1,, ,1999-01-30,개인, , 
199,200,일반소매인, ,(무명),경상북도 고령군 고령읍 쾌빈리 434호,경상북도 고령군 고령읍 우륵로 11,, ,1989-05-23,개인, , 
200,201,일반소매인, ,(무명),경상북도 고령군 고령읍 헌문리 50-3번지,경상북도 고령군 고령읍 중앙로 29,, ,1985-06-30,개인, , 
201,202,일반소매인, ,(무명),경상북도 고령군 고령읍 헌문리 202-7번지,경상북도 고령군 고령읍 중앙로 29-2,, ,1997-11-25,개인, , 
202,203,일반소매인, , ,경상북도 고령군 고령읍 헌문리 274호   , ,, ,1985-06-30, , , 
203,204,일반소매인, , ,경상북도 고령군 고령읍 헌문리 249호   , ,, ,1998-12-18, , , 
204,205,일반소매인, , ,경상북도 고령군 고령읍 헌문리 253호   ,경상북도 고령군 고령읍 시장길 3,, ,1985-06-30, , , 
205,206,일반소매인, ,경산가방,경상북도 고령군 고령읍 쾌빈리 505-1번지,경상북도 고령군 고령읍 시장길 8-1,, ,1985-06-30,개인, , 
206,207,일반소매인, , ,경상북도 고령군 고령읍 고아리 20호   , ,, ,1985-06-30, , , 
207,208,일반소매인, , ,경상북도 고령군 고령읍 지산리 222호   , ,, ,1985-06-30, , , 
208,209,일반소매인, ,(무명),경상북도 고령군 고령읍 쾌빈리 519-1번지,경상북도 고령군 고령읍 왕릉로 102,,,1985-06-30,개인, , 
209,210,일반소매인, , ,경상북도 고령군 쌍림면 산주리 113호   ,경상북도 고령군 쌍림면 영서로 2921,,,1998-12-11, , , 
210,211,일반소매인, ,(무명),경상북도 고령군 쌍림면 백산리 162-1번지,경상북도 고령군 쌍림면 영서로 3175,,,1985-06-30,개인, , 
211,212,일반소매인, , ,경상북도 고령군 쌍림면 송림리 38-45호   , ,,,1994-03-23, , , 
212,213,일반소매인, ,(무명),경상북도 고령군 쌍림면 송림리 38-117번지,경상북도 고령군 쌍림면 영서로 3357,,,1985-06-30,개인, , 
213,214,일반소매인, ,(무명),경상북도 고령군 쌍림면 귀원리 327-2번지,경상북도 고령군 쌍림면 대가야로 573,,,1985-06-30,개인, , 
214,215,일반소매인, , ,경상북도 고령군 쌍림면 매촌리 259호   , ,,,1985-06-30, , , 
215,216,일반소매인, , ,경상북도 고령군 쌍림면 합가리 110호   ,경상북도 고령군 쌍림면 개실1길 30,,,1998-02-28, , , 
216,217,일반소매인, ,(무명),경상북도 고령군 쌍림면 매촌리 147-2번지,경상북도 고령군 쌍림면 매촌1길 77,,,1998-12-16,개인, , 
217,218,일반소매인, ,(무명),경상북도 고령군 쌍림면 안림리 282-5번지,경상북도 고령군 쌍림면 쌍쌍로 911,,,1985-06-30,개인, , 
218,219,일반소매인, , ,경상북도 고령군 고령읍 지산리 443호   , ,,,1985-06-30, , , 
219,220,일반소매인, ,(무명),경상북도 고령군 우곡면 봉산리 1140-1번지,경상북도 고령군 우곡면 봉산길 9-7,,,1998-11-24,개인, , 
220,221,일반소매인, , ,경상북도 고령군 우곡면 답곡리 593호   , ,,,1985-06-30, , , 
221,222,일반소매인, , ,경상북도 고령군 우곡면 답곡리 597호   ,경상북도 고령군 우곡면 희정길 56-5,,,1998-12-16, , , 
222,223,일반소매인, , ,경상북도 고령군 우곡면 봉산리 1265호   ,경상북도 고령군 우곡면 봉산2길 67,,,1983-07-07, , , 
223,224,일반소매인, , ,경상북도 고령군 우곡면 야정리 929호   ,경상북도 고령군 우곡면 야정3길 28,,,1985-06-30, , , 
224,225,일반소매인, ,(무명),경상북도 고령군 우곡면 사촌리 375-1번지,경상북도 고령군 우곡면 우곡로 1172,,,1985-06-30,개인, , 
225,226,일반소매인, , ,경상북도 고령군 개진면 생리 276호   ,경상북도 고령군 개진면 개경포로 1556-13,,,1985-06-30, , , 
226,227,일반소매인, , ,경상북도 고령군 개진면 부리 5호   , ,,,1985-06-30, , , 
227,228,일반소매인, , ,경상북도 고령군 개진면 부리 175호   , ,,,1987-12-26, , , 
228,229,일반소매인, ,(무명),경상북도 고령군 개진면 옥산리 543호,경상북도 고령군 개진면 옥산길 12-5,,,1985-06-30,개인, , 
229,230,일반소매인, , ,경상북도 고령군 개진면 오사리 112호   ,경상북도 고령군 개진면 오사길 103,,,1985-06-30, , , 
230,231,일반소매인, , ,경상북도 고령군 개진면 개포리 354호   , ,,,1986-03-08, , , 
231,232,일반소매인, ,(무명),경상북도 고령군 개진면 직리 402-1번지,경상북도 고령군 개진면 개경포로 267,,,1998-06-12,개인, , 
232,233,일반소매인, , ,경상북도 고령군 운수면 봉평리 792호   , ,,,1985-06-30, , , 
233,234,일반소매인, , ,경상북도 고령군 운수면 운산리 352호   , ,,,1985-06-30, , , 
234,235,일반소매인, ,(무명),경상북도 고령군 운수면 봉평리 881호, ,,,1985-06-30,개인, , 
235,236,일반소매인, , ,경상북도 고령군 운수면 대평리 555호   , ,,,1997-  -  , , , 
236,237,일반소매인, ,(무명),경상북도 고령군 운수면 팔산리 410-1번지,경상북도 고령군 운수면 운성로 283,,,1998-12-31,개인, , 
237,238,일반소매인, ,(무명),경상북도 고령군 운수면 화암리 888호,경상북도 고령군 운수면 대가야로 1955,,,1998-12-09,개인, , 
238,239,일반소매인, ,(무명),경상북도 고령군 운수면 화암리 114-3번지,경상북도 고령군 운수면 대가야로 2123,,,1998-11-21,개인, , 
239,240,일반소매인, , ,경상북도 고령군 운수면 월산리 76호   ,경상북도 고령군 운수면 대가야로 1743,,,1998-11-21, , , 
240,241,일반소매인, , ,경상북도 고령군 덕곡면 노리 70호   , ,,,1983-06-16, , , 
241,242,일반소매인, , ,경상북도 고령군 덕곡면 노리 940호   , ,,,1980-06-30, , , 
242,243,일반소매인, , ,경상북도 고령군 덕곡면 예리 382호   , ,,,1985-06-30, , , 
243,244,일반소매인, ,(무명),경상북도 고령군 고령읍 쾌빈리 8호, ,,,1986-04-08,개인, , 
244,245,일반소매인, ,한국타이어,경상북도 고령군  쾌빈리 101번지 4호,경상북도 고령군 고령읍 대가야로 1485,,054-955-3816,1998-12-28,개인, , 
245,246,일반소매인, , ,경상북도 고령군 고령읍 저전리 470호   ,경상북도 고령군 고령읍 저전1길 34,,054-954-2201,1979-07-01, , , 
246,247,일반소매인, , ,경상북도 고령군 고령읍 중화리 333호   , ,,054-954-2201,1998-12-17, , , 
247,248,일반소매인, ,대가야슈퍼,경상북도 고령군 고령읍 쾌빈리 556번지 30호,경상북도 고령군 고령읍 낫질로 10,,054-954-3374,1998-12-09,개인, , 
248,249,일반소매인, ,오트바이,경상북도 고령군 고령읍 쾌빈리 330-1호   , ,,054-954-2201,1998-12-17, , , 
249,250,일반소매인, , ,경상북도 고령군 다산면 호촌리 313호   ,경상북도 고령군 다산면 호촌길 16,,,1998-12-12, , , 
250,251,일반소매인, , ,경상북도 고령군 다산면 평리리 67호   ,경상북도 고령군 다산면 평리5길 14,,,1985-06-30, , , 
251,252,일반소매인, , ,경상북도 고령군 다산면 상곡리 481호   , ,,,1985-06-30, , , 
252,253,일반소매인, , ,경상북도 고령군 다산면 노곡리 1045호   , ,,,1985-06-30, , , 
253,254,일반소매인, , ,경상북도 고령군 다산면 벌지리 1031호   ,경상북도 고령군 다산면 벌지1길 22,,,1985-06-30, , , 
254,255,일반소매인, , ,경상북도 고령군 성산면 무계리 31-3호   , ,,,1985-06-30, , , 
255,256,일반소매인, , ,경상북도 고령군 성산면 삼대리 438호   ,경상북도 고령군 성산면 삼대길 30,,,1988-07-23, , , 
256,257,일반소매인, , ,경상북도 고령군 성산면 어곡리 228호   , ,,,1993-01-30, , , 
257,258,일반소매인, , ,경상북도 고령군 성산면 사부리 85호   ,경상북도 고령군 성산면 사부길 63-4,,,1980-10-10, , , 
258,259,일반소매인, , ,경상북도 고령군 개진면 양전리 449호   ,경상북도 고령군 개진면 양전1길 27-6,,,1985-03-19, , , 
